               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087679,            0.029898,            0.048085,          0.00093286,             0.22619,           0.0029276,          0.00058414,             0.05819,            0.017334,            0.043974,              0.0937,              0.0007,              0.0007
                   1,            0.081717,            0.030584,            0.050393,           0.0028398,              0.7381,            0.080017,             0.03037,            0.038773,            0.016227,            0.039146,            0.086475,           0.0014752,           0.0014752
                   2,            0.078071,            0.029872,            0.048781,            0.003599,             0.96429,             0.17427,             0.07531,             0.03342,            0.015103,             0.03512,            0.079224,           0.0022241,           0.0022241
                   3,            0.065934,            0.028803,            0.042922,             0.14804,             0.47029,             0.33686,             0.19414,            0.030812,            0.013676,            0.032706,            0.071947,           0.0029465,           0.0029465
                   4,            0.046767,            0.027226,            0.040003,             0.51145,             0.28571,             0.47589,             0.24533,            0.027341,            0.012861,            0.031285,            0.064643,           0.0036426,           0.0036426
                   5,            0.047285,            0.022732,            0.035537,             0.34788,                 0.5,             0.41564,             0.17908,            0.047296,            0.011415,             0.03262,            0.057312,           0.0043123,           0.0043123
                   6,            0.047394,             0.02191,            0.039365,             0.35256,              0.5178,             0.43179,               0.234,            0.027526,            0.011432,            0.030334,            0.049955,           0.0049555,           0.0049555
                   7,            0.048029,             0.02142,            0.037982,              0.3795,             0.51729,             0.44956,             0.21141,            0.030853,           0.0092883,            0.034586,            0.042572,           0.0055724,           0.0055724
                   8,            0.053386,            0.020354,            0.040684,             0.20099,             0.50095,             0.30737,             0.14897,            0.033076,           0.0078809,            0.039253,            0.035163,           0.0061628,           0.0061628
                   9,              0.0461,            0.018561,            0.042643,             0.61127,             0.14286,             0.20765,            0.091496,            0.039009,           0.0083656,            0.036444,            0.027727,           0.0067268,           0.0067268
                  10,            0.052656,            0.019258,             0.04052,              0.5706,             0.32952,             0.34772,             0.14176,             0.03574,           0.0082545,            0.032695,            0.020264,           0.0072645,           0.0072645
                  11,            0.051728,            0.017451,            0.032156,             0.27301,             0.43506,             0.32417,             0.14987,            0.035757,           0.0071337,            0.027344,            0.012776,           0.0077757,           0.0077757
                  12,            0.049425,            0.017655,             0.03931,             0.47299,             0.51627,             0.48291,             0.13777,            0.039254,           0.0070093,            0.025111,             0.00802,             0.00802,             0.00802
                  13,              0.0522,            0.016505,            0.032781,             0.56402,             0.61446,             0.64774,             0.37918,            0.034427,           0.0072875,             0.02587,             0.00802,             0.00802,             0.00802
                  14,            0.048737,            0.017443,            0.032856,             0.66226,             0.53571,             0.43239,              0.1267,            0.034748,           0.0079939,            0.029181,            0.007855,            0.007855,            0.007855
                  15,            0.053516,            0.016881,            0.029087,             0.76784,             0.45238,             0.63281,             0.27389,            0.032003,           0.0087996,            0.030933,             0.00769,             0.00769,             0.00769
                  16,            0.044609,            0.016461,            0.025765,             0.61334,             0.89902,             0.86008,             0.36126,            0.033982,           0.0076504,             0.02164,            0.007525,            0.007525,            0.007525
                  17,            0.047473,            0.015308,            0.025295,             0.59438,             0.72599,              0.8047,             0.42525,            0.030649,           0.0062342,            0.019114,             0.00736,             0.00736,             0.00736
                  18,            0.041151,            0.014816,            0.022726,             0.48901,             0.67857,              0.7438,             0.39404,             0.02522,            0.007184,            0.016321,            0.007195,            0.007195,            0.007195
                  19,            0.037651,            0.013111,            0.021891,              0.6957,             0.81974,             0.85642,             0.47603,            0.030524,           0.0066457,            0.013827,             0.00703,             0.00703,             0.00703
                  20,            0.042031,            0.013638,            0.017269,             0.60664,             0.82143,             0.73549,             0.36574,            0.026398,           0.0062294,            0.013864,            0.006865,            0.006865,            0.006865
                  21,            0.037056,            0.014626,            0.021277,             0.52854,             0.89835,             0.81273,             0.35396,            0.027931,           0.0058579,            0.010139,              0.0067,              0.0067,              0.0067
                  22,            0.048391,            0.015112,            0.024657,             0.62618,             0.94368,             0.88488,             0.45658,            0.024188,           0.0055575,           0.0076424,            0.006535,            0.006535,            0.006535
